RUN	Servicios.ObtenerCiudades	obtenerciudades	1569514514643	1	3.0.2
USER	SmokeTest	133	END	1569514534481	1569514535267
USER	SmokeTest	141	START	1569514535267	1569514535267
REQUEST	134		SmokeTest	1569514534498	1569514535301	OK	 
USER	SmokeTest	134	END	1569514534497	1569514535306
USER	SmokeTest	142	START	1569514535307	1569514535307
REQUEST	136		SmokeTest	1569514534668	1569514535435	OK	 
USER	SmokeTest	136	END	1569514534667	1569514535439
USER	SmokeTest	143	START	1569514535439	1569514535439
REQUEST	137		SmokeTest	1569514534840	1569514535516	OK	 
USER	SmokeTest	137	END	1569514534840	1569514535521
USER	SmokeTest	144	START	1569514535521	1569514535521
REQUEST	138		SmokeTest	1569514534959	1569514535641	OK	 
USER	SmokeTest	138	END	1569514534959	1569514535646
USER	SmokeTest	145	START	1569514535646	1569514535646
REQUEST	139		SmokeTest	1569514534988	1569514535685	OK	 
USER	SmokeTest	139	END	1569514534987	1569514535689
USER	SmokeTest	146	START	1569514535689	1569514535689
REQUEST	141		SmokeTest	1569514535268	1569514536029	OK	 
USER	SmokeTest	141	END	1569514535267	1569514536035
USER	SmokeTest	147	START	1569514536035	1569514536035
REQUEST	140		SmokeTest	1569514535231	1569514536282	OK	 
USER	SmokeTest	140	END	1569514535231	1569514536285
USER	SmokeTest	148	START	1569514536286	1569514536286
REQUEST	144		SmokeTest	1569514535522	1569514536366	OK	 
USER	SmokeTest	144	END	1569514535521	1569514536371
USER	SmokeTest	149	START	1569514536371	1569514536371
REQUEST	145		SmokeTest	1569514535646	1569514536504	OK	 
USER	SmokeTest	145	END	1569514535646	1569514536512
USER	SmokeTest	150	START	1569514536512	1569514536512
REQUEST	146		SmokeTest	1569514535689	1569514536624	OK	 
USER	SmokeTest	146	END	1569514535689	1569514536630
USER	SmokeTest	151	START	1569514536630	1569514536630
REQUEST	143		SmokeTest	1569514535440	1569514536741	OK	 
USER	SmokeTest	143	END	1569514535439	1569514536745
USER	SmokeTest	152	START	1569514536745	1569514536745
REQUEST	147		SmokeTest	1569514536035	1569514536801	OK	 
USER	SmokeTest	147	END	1569514536035	1569514536805
USER	SmokeTest	153	START	1569514536805	1569514536805
REQUEST	148		SmokeTest	1569514536286	1569514537048	OK	 
USER	SmokeTest	148	END	1569514536286	1569514537056
USER	SmokeTest	154	START	1569514537057	1569514537057
REQUEST	150		SmokeTest	1569514536512	1569514537229	OK	 
USER	SmokeTest	150	END	1569514536512	1569514537234
USER	SmokeTest	155	START	1569514537235	1569514537235
REQUEST	151		SmokeTest	1569514536631	1569514537404	OK	 
USER	SmokeTest	151	END	1569514536630	1569514537408
USER	SmokeTest	156	START	1569514537409	1569514537409
REQUEST	152		SmokeTest	1569514536746	1569514537449	OK	 
USER	SmokeTest	152	END	1569514536745	1569514537455
USER	SmokeTest	157	START	1569514537455	1569514537455
REQUEST	153		SmokeTest	1569514536805	1569514537479	OK	 
USER	SmokeTest	153	END	1569514536805	1569514537485
USER	SmokeTest	158	START	1569514537486	1569514537486
REQUEST	142		SmokeTest	1569514535307	1569514537568	OK	 
USER	SmokeTest	142	END	1569514535307	1569514537572
USER	SmokeTest	159	START	1569514537572	1569514537572
REQUEST	149		SmokeTest	1569514536372	1569514537682	OK	 
USER	SmokeTest	149	END	1569514536371	1569514537692
USER	SmokeTest	160	START	1569514537692	1569514537692
REQUEST	154		SmokeTest	1569514537057	1569514537832	OK	 
USER	SmokeTest	154	END	1569514537057	1569514537836
USER	SmokeTest	161	START	1569514537836	1569514537836
REQUEST	155		SmokeTest	1569514537235	1569514537916	OK	 
USER	SmokeTest	155	END	1569514537235	1569514537921
USER	SmokeTest	162	START	1569514537923	1569514537923
REQUEST	156		SmokeTest	1569514537409	1569514538196	OK	 
USER	SmokeTest	156	END	1569514537409	1569514538200
USER	SmokeTest	163	START	1569514538200	1569514538200
REQUEST	159		SmokeTest	1569514537572	1569514538330	OK	 
USER	SmokeTest	159	END	1569514537572	1569514538335
USER	SmokeTest	164	START	1569514538335	1569514538335
REQUEST	160		SmokeTest	1569514537692	1569514538371	OK	 
USER	SmokeTest	160	END	1569514537692	1569514538376
USER	SmokeTest	165	START	1569514538376	1569514538376
REQUEST	158		SmokeTest	1569514537486	1569514538385	OK	 
USER	SmokeTest	158	END	1569514537486	1569514538389
USER	SmokeTest	166	START	1569514538389	1569514538389
REQUEST	161		SmokeTest	1569514537836	1569514538508	OK	 
USER	SmokeTest	161	END	1569514537836	1569514538513
USER	SmokeTest	167	START	1569514538515	1569514538515
REQUEST	157		SmokeTest	1569514537455	1569514538513	OK	 
USER	SmokeTest	157	END	1569514537455	1569514538520
USER	SmokeTest	168	START	1569514538520	1569514538520
REQUEST	162		SmokeTest	1569514537924	1569514538710	OK	 
USER	SmokeTest	162	END	1569514537923	1569514538716
USER	SmokeTest	169	START	1569514538716	1569514538716
