RUN	Servicios.ObtenerCiudades	obtenerciudades	1569618175525	 	3.0.2
REQUEST	110		SmokeTest	1569618197754	1569618198642	OK	 
USER	SmokeTest	110	END	1569618197753	1569618198647
USER	SmokeTest	117	START	1569618198648	1569618198648
REQUEST	111		SmokeTest	1569618197865	1569618198810	OK	 
USER	SmokeTest	111	END	1569618197864	1569618198826
REQUEST	113		SmokeTest	1569618197980	1569618198804	OK	 
USER	SmokeTest	118	START	1569618198827	1569618198827
USER	SmokeTest	113	END	1569618197979	1569618198830
USER	SmokeTest	119	START	1569618198831	1569618198831
REQUEST	112		SmokeTest	1569618197978	1569618198886	OK	 
USER	SmokeTest	112	END	1569618197972	1569618198890
USER	SmokeTest	120	START	1569618198890	1569618198890
REQUEST	114		SmokeTest	1569618198308	1569618199092	OK	 
USER	SmokeTest	114	END	1569618198307	1569618199102
USER	SmokeTest	121	START	1569618199103	1569618199103
REQUEST	116		SmokeTest	1569618198478	1569618199265	OK	 
USER	SmokeTest	116	END	1569618198477	1569618199272
USER	SmokeTest	122	START	1569618199273	1569618199273
REQUEST	115		SmokeTest	1569618198377	1569618199845	OK	 
USER	SmokeTest	115	END	1569618198377	1569618199855
USER	SmokeTest	123	START	1569618199855	1569618199855
REQUEST	122		SmokeTest	1569618199273	1569618200993	OK	 
USER	SmokeTest	122	END	1569618199273	1569618201001
USER	SmokeTest	124	START	1569618201001	1569618201001
REQUEST	121		SmokeTest	1569618199104	1569618201115	OK	 
USER	SmokeTest	121	END	1569618199103	1569618201121
USER	SmokeTest	125	START	1569618201121	1569618201121
REQUEST	120		SmokeTest	1569618198891	1569618201520	OK	 
USER	SmokeTest	120	END	1569618198890	1569618201526
USER	SmokeTest	126	START	1569618201526	1569618201526
REQUEST	118		SmokeTest	1569618198831	1569618201722	OK	 
USER	SmokeTest	118	END	1569618198827	1569618201727
USER	SmokeTest	127	START	1569618201729	1569618201729
REQUEST	124		SmokeTest	1569618201002	1569618201851	OK	 
USER	SmokeTest	124	END	1569618201001	1569618201862
REQUEST	125		SmokeTest	1569618201122	1569618201858	OK	 
USER	SmokeTest	128	START	1569618201862	1569618201862
USER	SmokeTest	125	END	1569618201121	1569618201865
USER	SmokeTest	129	START	1569618201865	1569618201865
REQUEST	123		SmokeTest	1569618199856	1569618201945	OK	 
USER	SmokeTest	123	END	1569618199855	1569618201950
USER	SmokeTest	130	START	1569618201951	1569618201951
REQUEST	117		SmokeTest	1569618198648	1569618202226	OK	 
USER	SmokeTest	117	END	1569618198648	1569618202232
USER	SmokeTest	131	START	1569618202232	1569618202232
REQUEST	119		SmokeTest	1569618198833	1569618202471	OK	 
USER	SmokeTest	119	END	1569618198831	1569618202479
USER	SmokeTest	132	START	1569618202480	1569618202480
REQUEST	126		SmokeTest	1569618201568	1569618202504	OK	 
USER	SmokeTest	126	END	1569618201526	1569618202512
USER	SmokeTest	133	START	1569618202513	1569618202513
REQUEST	127		SmokeTest	1569618201729	1569618202582	OK	 
USER	SmokeTest	127	END	1569618201729	1569618202588
REQUEST	128		SmokeTest	1569618201865	1569618202589	OK	 
USER	SmokeTest	134	START	1569618202595	1569618202595
USER	SmokeTest	128	END	1569618201862	1569618202598
USER	SmokeTest	135	START	1569618202599	1569618202599
REQUEST	130		SmokeTest	1569618201951	1569618202764	OK	 
USER	SmokeTest	130	END	1569618201951	1569618202772
USER	SmokeTest	136	START	1569618202772	1569618202772
REQUEST	132		SmokeTest	1569618202481	1569618203285	OK	 
USER	SmokeTest	132	END	1569618202480	1569618203289
